Equipment_Dam,Model.Suffix_Dam,Workorder_Dam,HEAD NORMAL COORDINATE X AXIS(Stage1) Collect Result_Dam,Chamber Temp. Judge Value_AutoClave,Equipment_Fill1,HEAD NORMAL COORDINATE X AXIS(Stage1) Collect Result_Fill1,Equipment_Fill2,HEAD NORMAL COORDINATE X AXIS(Stage1) Collect Result_Fill2,target
Dam dispenser #1,AJX75334505,4F1XA938-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334505,3KPM0016-2,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,4E1X9167-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3K1X0057-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334501,3HPM0007-1,549,NG,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1X8297-2,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3M1XH425-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4A1XB542-4,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3H1X9883-1,549,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1XD171-2,549,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,4E1X9168-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4A1XC343-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3L1XA128-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3L1X8574-2,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3GPM0070-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1X4502-2,549,NG,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3F1X9648-1,549,NG,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334502,4B1XA868-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,AbNormal
Dam dispenser #1,AJX75334501,3L1XB019-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,4C1X0049-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,4B1XD472-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4B1XD691-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3G1XB994-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,4B1XA871-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334507,3MPXX030-0001,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1XD883-1,549.5,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3M1XC472-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3H1X9881-1,550,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3I1XB425-1,550,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,4C1X0049-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4B1X9674-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3G1XC498-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,4A1XB975-2,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3M1XF736-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4B1XC717-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334505,4C1XG294-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3I1XB425-1,550,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1XC759-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3J1XF461-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,AbNormal
Dam dispenser #2,AJX75334501,3L1XA998-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3K1X0791-1,550.3,NG,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3F1XB560-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3L1XA128-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3J1XC148-1,162.4,NG,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334505,4E1X9997-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,AbNormal
Dam dispenser #1,AJX75334501,3I1XB274-1,550,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3L1XA998-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3K1XA736-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334505,4C1XH941-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334502,4C1XH315-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,4A1XC346-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3L1X9934-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334505,4F1X8043-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1XE851-1,549.5,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334505,4F1XB043-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4B1X9674-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334502,3I1XA510-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334502,3K1X9801-1,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3L1XB735-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3M1XH386-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,AbNormal
Dam dispenser #2,AJX75334501,3L1X8574-2,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3G1XC632-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334505,4C1XH944-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,4B1XC718-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3J1XD560-1,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,4B1X9672-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334505,4E1X9995-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4A1XB542-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4C1XD437-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,4E1X0056-2,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,4E1XB049-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334505,4F1X8043-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4B1X6364-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3M1XG287-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4B1XC551-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3H1X7981-1,549,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,4E1X9168-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3K1X9888-2,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3I1XB274-1,550,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1XB952-1,549,NG,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3J1XD560-1,162.4,NG,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334505,4E1XB350-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1X8428-1,549,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3K1XB239-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,AbNormal
Dam dispenser #1,AJX75334501,3J1XE079-1,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3M1XH388-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3L1XB735-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3L1X8506-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,4A1XB535-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3L1XB244-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3L1X8574-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334505,4C1XH945-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3G1XB176-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3L1X9929-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1XC966-1,549,NG,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3L1XB735-2,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334505,4E1XB349-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3M1XH388-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3K1X0056-1,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334502,3J1XF276-2,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3L1X1367-3,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1XC952-1,549,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334505,4F1XB758-2,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3F1XC781-1,549,NG,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334505,4C1XJ040-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3G1XC759-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3H1XE645-2,550,NG,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3M1XB526-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4A1XA639-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334505,4C1XH940-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3L1XB245-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334505,4F1XA938-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3M1XH428-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1XE645-2,550,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1XA502-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334502,4B1XC929-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3L1X9929-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3M1XC485-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3K1XC261-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4C1XH186-2,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4A1XC326-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3J1XF886-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3M1XG286-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3G1X8298-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,4B1XD472-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3M1XF441-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334502,4A1XC288-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,AbNormal
